Trail,Treatment,Timepoint,SU weight (grams),SU diameter (mm),# Rock Class 1,# Rock Class 2,Covered,Light intensity,Temperature (C)
1,Big_Small,0,0.98,19,0,0,0,460X10,23.7
1,Big_Small,5,0.98,19,1,1,0,460X10,23.7
1,Big_Small,10,0.98,19,0,3,1,460X10,23.7
1,Big_Small,15,0.98,19,9,6,1,460X10,23.7
1,Big_Small,20,0.98,19,1,3,1,460X10,23.7
1,Heavy_Light,0,1.49,23,0,0,0,460X10,23.7
1,Heavy_Light,5,1.49,23,0,1,0,460X10,23.7
1,Heavy_Light,10,1.49,23,0,1,1,460X10,23.7
1,Heavy_Light,15,1.49,23,0,1,1,460X10,23.7
1,Heavy_Light,20,1.49,23,0,1,1,460X10,23.7
1,Blue_White,0,1.39,21,0,0,0,460X10,23.7
1,Blue_White,5,1.39,21,5,0,0,460X10,23.7
1,Blue_White,10,1.39,21,3,0,1,460X10,23.7
1,Blue_White,15,1.39,21,3,0,1,460X10,23.7
1,Blue_White,20,1.39,21,3,0,1,460X10,23.7
2,Big_Small,0,3.08,28,0,0,0,460X10,23.9
2,Big_Small,5,3.08,28,0,2,0,460X10,23.9
2,Big_Small,10,3.08,28,0,3,0,460X10,23.9
2,Big_Small,15,3.08,28,0,3,0,460X10,23.9
2,Big_Small,20,3.08,28,0,3,0,460X10,23.9
2,Heavy_Light,0,0.73,18,0,0,0,460X10,23.9
2,Heavy_Light,5,0.73,18,0,0,0,460X10,23.9
2,Heavy_Light,10,0.73,18,0,0,0,460X10,23.9
2,Heavy_Light,15,0.73,18,0,0,0,460X10,23.9
2,Heavy_Light,20,0.73,18,0,0,0,460X10,23.9
2,Blue_White,0,2.97,19,0,0,0,460X10,23.9
2,Blue_White,5,2.97,19,0,3,0,460X10,23.9
2,Blue_White,10,2.97,19,1,3,0,460X10,23.9
2,Blue_White,15,2.97,19,1,3,0,460X10,23.9
2,Blue_White,20,2.97,19,1,2,0,460X10,23.9
3,Big_Small,0,0.55,16,0,0,0,460X10,23.8
3,Big_Small,5,0.55,16,0,0,0,460X10,23.8
3,Big_Small,10,0.55,16,0,4,0,460X10,23.8
3,Big_Small,15,0.55,16,0,2,0,460X10,23.8
3,Big_Small,20,0.55,16,0,3,0,460X10,23.8
3,Heavy_Light,0,1.09,20,0,0,0,460X10,23.8
3,Heavy_Light,5,1.09,20,0,0,0,460X10,23.8
3,Heavy_Light,10,1.09,20,0,1,0,460X10,23.8
3,Heavy_Light,15,1.09,20,0,0,0,460X10,23.8
3,Heavy_Light,20,1.09,20,0,0,0,460X10,23.8
3,Blue_White,0,0.84,17,0,0,0,460X10,23.8
3,Blue_White,5,0.84,17,0,0,0,460X10,23.8
3,Blue_White,10,0.84,17,0,0,0,460X10,23.8
3,Blue_White,15,0.84,17,0,0,0,460X10,23.8
3,Blue_White,20,0.84,17,0,0,0,460X10,23.8
4,Big_Small,0,0.55,16,0,0,0,460X10,23.9
